source_id,publisher,title,year,source_class,url,package_use,access_note
CSIRO_GENCOST_2025_26,CSIRO and AEMO,GenCost 2025-26 Final Report,2026,official_Australia,https://www.csiro.au/en/research/technology-space/energy/electricity-transition/gencost,PV wind biomass and regional BESS capital costs,Report already present in validated data bundle
AEMO_IASR_2025,AEMO,2025-26 Inputs Assumptions and Scenarios,2025,official_Australia,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Reference-material hub for Aurecon and Oxford Economics reports,Public page
AURECON_MIDSIZE_2024,Aurecon for AEMO,Energy technology cost and technical parameter review - Mid Size Solar PV and BESS,2025,official_commissioned,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Community BESS small PV efficiency life and uncertainty,Public PDF and table linked from AEMO
OXFORD_DISCOUNT_2024,Oxford Economics Australia for AEMO,Discount rates for energy infrastructure,2024,official_commissioned,https://www.aemo.com.au/-/media/files/major-publications/isp/2025/oxford-economics-australia-2024-discount-rate-report.pdf,Real pre-tax discount-rate range,Public PDF
DCCEEW_NGA_2025,DCCEEW,National Greenhouse Accounts Factors 2025,2025,official_Australia,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Biomass fuel energy content and operational emissions factors,Model-ready extract already provenance-checked
NSW_BIOENERGY,NSW Government,Australian Biomass for Bioenergy Assessment NSW services,2025,official_Australia,https://spatial.industry.nsw.gov.au/arcgis/rest/services/Bioenergy_Assessment,Biomass spatial quantities moisture and feedstock type,Downloaded in validated bundle
NREL_LCA_171,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,2021,official_research_dataset,https://data.nlr.gov/submissions/171,Attributional lifecycle distributions for PV wind Li-ion storage and biopower,Official workbook DOI 10.7799/1819907 downloaded hashed and parsed
NREL_ATB_BATTERY,NREL,Annual Technology Baseline utility-scale battery storage,2024,official_research,https://atb.nrel.gov/electricity/2024/2023/utility-scale_battery_storage,Battery O&M lifetime and efficiency cross-check,Public technical page
NREL_ATB_PV,NREL,Annual Technology Baseline utility-scale PV,2024,official_research,https://atb.nrel.gov/electricity/2024/utility-scale_pv,PV O&M ratio cross-check,Public technical page
NREL_BLAST,NREL,Battery Lifetime Analysis and Simulation Tool Suite,2026,official_research,https://www.nrel.gov/transportation/blast,Primary battery degradation model,Python package must be pinned by commit/version
EPA_BIOMASS_CHP,US EPA,Biomass Combined Heat and Power Catalog of Technologies v1.1,2012,government_technical,https://www.epa.gov/sites/default/files/2015-07/documents/biomass_combined_heat_and_power_catalog_of_technologies_v.1.1.pdf,Biomass and biogas engine efficiency range,Public PDF
EPA_DAIRY_META,US EPA HERO,Meta-analysis of methane yields from anaerobic digestion of dairy cattle manure,2016,indexed_literature,https://hero.epa.gov/reference/3478659,Dairy methane-yield conditional pathway,Requires volatile-solids fraction
NREL_REOPT,NREL,REopt resilience analysis methodology,2026,official_research,https://reopt.nrel.gov/tool,Outage survival and critical-load stress-test structure,Methodology only; scenario values are explicit assumptions
