input_id,feedstock_group,conversion_path,energy_basis,unit,low,central,high,source_type,source_name,source_locator,source_url,implementation_rule,notes
BIO_DRY_WOOD_LHV,forestry_dry_wood,gasification_or_combustion,lower_heating_value,GJ/t_dry,14.58,16.2,17.82,derived_from_official,DCCEEW National Greenhouse Accounts Factors 2025,Table 4 page 15,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Central direct; ±10% uncertainty,Use dry-mass biomass layer
BIO_GREEN_WOOD_LHV,forestry_green_wood,gasification_or_combustion,lower_heating_value,GJ/t_as_received,9.36,10.4,11.44,derived_from_official,DCCEEW National Greenhouse Accounts Factors 2025,Table 4 page 15,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Central direct; ±10% uncertainty,Do not apply a second moisture correction if using as-received factor
BIO_BAGASSE_LHV,bagasse,gasification_or_combustion,lower_heating_value,GJ/t_as_received,8.64,9.6,10.56,derived_from_official,DCCEEW National Greenhouse Accounts Factors 2025,Table 4 page 15,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Central direct; ±10% uncertainty,
BIO_PRIMARY_SOLID_LHV,crop_and_primary_solid_residue,gasification_or_combustion,lower_heating_value,GJ/t,10.98,12.2,13.42,derived_from_official,DCCEEW National Greenhouse Accounts Factors 2025,Table 4 page 16,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Central direct; ±10% uncertainty,Use feedstock-specific values later where a stronger source exists
BIO_MUNICIPAL_LHV,municipal_and_industrial_biomass,gasification_or_combustion,lower_heating_value,GJ/t,10.98,12.2,13.42,derived_from_official,DCCEEW National Greenhouse Accounts Factors 2025,Table 4 page 16,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Central direct; ±10% uncertainty,Apply only to combustible biogenic fraction
BIO_BIOGAS_ENERGY,captured_biogas,reciprocating_engine,gas_energy_content,GJ/m3,0.037,0.0377,0.0393,direct_official_range,DCCEEW National Greenhouse Accounts Factors 2025,Table 5 page 19,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2025,Select factor by biogas type,
BIO_DAIRY_METHANE_YIELD,dairy_manure,anaerobic_digestion,methane_yield,m3_CH4/kg_volatile_solids,0.15,0.19,0.23,derived_from_literature,Meta-analysis indexed by EPA HERO,mean CSTR methane yield 0.190 ±0.016,https://hero.epa.gov/reference/3478659,Requires volatile-solids fraction; do not multiply by wet manure mass directly,Conditional pathway; disable if VS data cannot be justified
BIO_RECOVERABLE_FRAC,all_solid_feedstocks,collection,recoverable_fraction_of_reported_resource,fraction,0.3,0.5,0.7,scenario_assumption,Resource-access uncertainty,must be sensitivity-tested,,Multiply reported resource before storage/transport losses,Never present as measured availability
BIO_COLLECTION_LOSS,all_feedstocks,collection,collection_loss_fraction,fraction,0.03,0.07,0.12,scenario_assumption,Engineering uncertainty set,must be sensitivity-tested,,Apply once after recoverable fraction,
BIO_STORAGE_LOSS,all_solid_feedstocks,storage,annual_storage_loss_fraction,fraction,0.02,0.05,0.1,scenario_assumption,Engineering uncertainty set,must be sensitivity-tested,,Apply to inventory balance,
BIO_ELEC_EFF_SOLID,solid_biomass,gasification_engine,net_electrical_efficiency_LHV,fraction,0.25,0.3,0.35,derived_from_official,US EPA Biomass CHP Catalog,gas IC engines 100 kW to 5 MW: 29.7% to 37.0% HHV,https://www.epa.gov/sites/default/files/2015-07/documents/biomass_combined_heat_and_power_catalog_of_technologies_v.1.1.pdf,Central conservative for feedstock preparation and parasitic loads,Validate against chosen generator size
BIO_ELEC_EFF_BIOGAS,biogas,reciprocating_engine,net_electrical_efficiency,fraction,0.25,0.31,0.37,direct_official_range,US EPA Biomass CHP Catalog,Table 6-5 gas engine performance,https://www.epa.gov/sites/default/files/2015-07/documents/biomass_combined_heat_and_power_catalog_of_technologies_v.1.1.pdf,Interpolate efficiency by rated capacity,Biogas cleaning parasitics must be deducted
BIO_MIN_LOAD,biomass_generator,dispatch,minimum_stable_load_fraction,fraction,0.3,0.4,0.5,scenario_assumption,Operational stress-test,must be sensitivity-tested,,MILP commitment constraint,
BIO_RAMP_RATE,biomass_generator,dispatch,ramp_fraction_of_capacity_per_hour,fraction/hour,0.2,0.4,0.6,scenario_assumption,Operational stress-test,must be sensitivity-tested,,Apply upward and downward unless vendor-specific data are selected,
BIO_SEASONAL_AVAIL,crop_residue,inventory,seasonal_availability_amplitude,fraction_of_annual_mean,0.2,0.4,0.6,scenario_assumption,Seasonality stress-test,must be sensitivity-tested,,Monthly profile must integrate to annual recoverable quantity,
