input_id,technology,scale_class,parameter,unit,low,central,high,currency,price_basis_year,source_type,source_name,source_locator,source_url,derivation,notes
PV_SMALL_CAPEX,solar_photovoltaic,ground_mount_4.99_MW_DC,capital_cost,AUD/kW_DC,1120,1600,2080,AUD,July 2024,derived_from_official,Aurecon mid-size solar PV review,small-size solar PV cost section,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,central direct; low/high = central ±30%,Includes typical grid connection; excludes land/development; regional location uncertainty explicitly retained
WIND_ONSHORE_CAPEX,wind_turbine,regional_onshore,capital_cost,AUD/kW_AC,2273.6,3248,4222.4,AUD,2025,derived_from_official,CSIRO GenCost 2025-26 Final Report,"Appendix Table B.1, 2025 current cost",https://www.csiro.au/en/research/technology-space/energy/electricity-transition/gencost,central direct; low/high = central ±30%,"Regional civil, logistics and connection uncertainty must be modelled separately where site data exist"
BIOMASS_SMALL_CAPEX,biomass_generator,small_scale,capital_cost,AUD/kW_AC,6311.2,9016,11720.8,AUD,2025,derived_from_official,CSIRO GenCost 2025-26 Final Report,"Appendix Table B.1, biomass small scale",https://www.csiro.au/en/research/technology-space/energy/electricity-transition/gencost,central direct; low/high = central ±30%,"Generator/conversion plant cost; feedstock collection, transport and storage are separate"
BESS_REG_POWER_CAPEX,battery_LFP,regional_substation_scale,power_component_cost,AUD/kW,470,480,504,AUD,2025,derived_from_official,CSIRO GenCost 2025-26 Final Report,Appendix Tables B.4-B.6,https://www.csiro.au/en/research/technology-space/energy/electricity-transition/gencost,balance-of-plant AUD/kWh multiplied by duration: 2h=470; 4h=480; 8h=504 AUD/kW,Use with BESS_REG_ENERGY_CAPEX; do not add a separate converter unless scope is explicitly non-overlapping
BESS_REG_ENERGY_CAPEX,battery_LFP,regional_substation_scale,energy_component_cost,AUD/kWh,245,265,290,AUD,2025,direct_official_range,CSIRO GenCost 2025-26 Final Report,Appendix Tables B.4-B.6,https://www.csiro.au/en/research/technology-space/energy/electricity-transition/gencost,2h/4h/8h battery components define range,Central is 4-hour reference
BESS_COMM_POWER_CAPEX,battery_LFP,community_250kW_500kWh,power_component_cost,AUD/kW,923.3,1319,1714.7,AUD,July 2024,derived_from_official,Aurecon mid-size solar PV and BESS review,250 kW / 500 kWh community BESS,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,central direct; low/high = central ±30%,Use only for community-scale systems
BESS_COMM_ENERGY_CAPEX,battery_LFP,community_250kW_500kWh,energy_component_cost,AUD/kWh,615.3,879,1142.7,AUD,July 2024,derived_from_official,Aurecon mid-size solar PV and BESS review,250 kW / 500 kWh community BESS,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,central direct; low/high = central ±30%,Use only for community-scale systems
PV_FIXED_OM_FRAC,solar_photovoltaic,all,fixed_om_fraction_of_capex,fraction/year,0.006,0.009,0.012,NA,2024,derived_from_official,NREL Annual Technology Baseline 2024,utility-scale PV O&M methodology,https://atb.nrel.gov/electricity/2024/utility-scale_pv,central based on approximately 0.9:100 O&M-to-CAPEX ratio; bounds are scenario range,"Applied to AUD CAPEX, avoiding currency conversion of a US absolute O&M value"
BESS_FIXED_OM_FRAC,battery_LFP,all,fixed_om_fraction_of_capex,fraction/year,0.02,0.025,0.03,NA,2024,direct_official_range,NREL Annual Technology Baseline 2024,battery O&M section,https://atb.nrel.gov/electricity/2024/2023/utility-scale_battery_storage,central 2.5%; low/high uncertainty,Includes augmentation in ATB convention; avoid double counting when explicit replacements are modelled
WIND_FIXED_OM_FRAC,wind_turbine,all,fixed_om_fraction_of_capex,fraction/year,0.012,0.018,0.025,NA,2026,scenario_assumption,Engineering uncertainty set,must be sensitivity-tested,,bounded scenario assumption,Use only until an Australian site-specific O&M contract or AEMO table is integrated
BIOMASS_FIXED_OM_FRAC,biomass_generator,small_scale,fixed_om_fraction_of_capex,fraction/year,0.03,0.045,0.06,NA,2026,scenario_assumption,Engineering uncertainty set,must be sensitivity-tested,,bounded scenario assumption,Feedstock cost is excluded
BIOMASS_VARIABLE_OM,biomass_generator,small_scale,variable_om,AUD/kWh_e,0.008,0.015,0.03,AUD,2026,scenario_assumption,Engineering uncertainty set,must be sensitivity-tested,,bounded scenario assumption,Excludes feedstock transport and purchase
