input_id,parameter,unit,low,central,high,source_type,source_name,source_locator,source_url,implementation_rule,notes
BAT_CHEMISTRY,chemistry,text,LFP,LFP,LFP,model_choice,NREL BLAST-Lite,commercial Li-ion models,https://www.nrel.gov/transportation/blast,Use an LFP model available in installed BLAST-Lite release,Record exact BLAST-Lite model class and package commit
BAT_RTE,round_trip_efficiency,fraction,0.82,0.84,0.88,derived_from_official,Aurecon mid-size BESS review,BOL efficiency including auxiliaries,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Use central for deterministic base case; sample full range in robust analysis,NREL ATB 85% provides independent cross-check
BAT_CHARGE_EFF,charge_efficiency,fraction,0.9,0.92,0.94,direct_official_range,Aurecon mid-size BESS review,charge/discharge efficiency,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Constrain charge and discharge efficiencies consistently with RTE,Central 0.92 × 0.92 = 0.8464
BAT_DISCHARGE_EFF,discharge_efficiency,fraction,0.9,0.92,0.94,direct_official_range,Aurecon mid-size BESS review,charge/discharge efficiency,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Constrain charge and discharge efficiencies consistently with RTE,Central 0.92 × 0.92 = 0.8464
BAT_SOC_MIN,minimum_state_of_charge,fraction,0.05,0.1,0.15,scenario_assumption,Aurecon review plus operating reserve design,practical SOC window discussion,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Never allow SOC below selected value,Sensitivity variable
BAT_SOC_MAX,maximum_state_of_charge,fraction,0.85,0.9,0.95,scenario_assumption,Aurecon review plus operating reserve design,practical SOC window discussion,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Never allow SOC above selected value,Sensitivity variable
BAT_C_RATE,maximum_charge_discharge_C_rate,1/hour,0.25,0.5,1.0,scenario_assumption,Engineering design range,must be sensitivity-tested,,Power capacity <= selected C-rate × usable energy capacity,Optimiser also has independent kW and kWh variables
BAT_CYCLE_LIFE,warranted_cycles,cycles,5000,7300,9000,derived_from_official,Aurecon mid-size BESS review,one cycle/day; 20-year LFP warranty example,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Use only for fallback EFC degradation and plausibility checks; BLAST-Lite is primary,"Central 7,300 cycles"
BAT_ECON_LIFE,economic_life,year,10,15,20,direct_official_range,Aurecon mid-size BESS review,community and mid-size BESS life ranges,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,Replacement occurs at earlier of life limit or capacity threshold,Scale-specific sensitivity
BAT_EOL_THRESHOLD,end_of_life_remaining_capacity,fraction,0.7,0.8,0.85,scenario_assumption,Common engineering EOL convention,must be sensitivity-tested,,Trigger replacement/augmentation when usable capacity reaches threshold,Central 80% retained capacity
BAT_FALLBACK_DEGRADATION,fallback_cycle_loss_per_EFC,fraction/EFC,1.67e-05,2.74e-05,4e-05,derived_assumption,Derived from cycle-life range,1/(cycles × 0.8 nominal fade allowance),,Use only when BLAST-Lite cannot evaluate a requested design; label results as fallback,Must be compared against BLAST-Lite on representative dispatch profiles
